1518706526003, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706526054, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518706526203, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706526253, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706526403, -0.183, -0.427, 1.28, METAWEAR, SENSOR_GYRO
1518706526454, -0.122, -0.183, 7.439, METAWEAR, SENSOR_GYRO
1518706526604, -0.122, -0.976, -6.037, METAWEAR, SENSOR_GYRO
1518706526655, 0.488, -1.89, -18.72, METAWEAR, SENSOR_GYRO
1518706526903, 0.427, -1.341, -9.878, METAWEAR, SENSOR_GYRO
1518706527054, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706527204, 0, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706527253, 0.061, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518706527403, 0, -0.732, 0.366, METAWEAR, SENSOR_GYRO
1518706527453, 0.183, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518706527604, 0, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706527654, 0.122, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706527853, 0.183, -0.549, 0.305, METAWEAR, SENSOR_GYRO
1518706527903, -0.061, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518706528153, 0.061, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518706528304, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706528353, 0, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706528556, 0.061, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518706528604, 0.122, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518706528757, 0.061, -0.488, 0.244, METAWEAR, SENSOR_GYRO
1518706528803, 0.183, -0.549, 0.244, METAWEAR, SENSOR_GYRO
1518706529003, 0.183, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706529053, 0.122, -0.488, 0.366, METAWEAR, SENSOR_GYRO
1518706529206, 0.183, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706529254, -0.061, -0.61, 0.122, METAWEAR, SENSOR_GYRO
1518706529453, 0.183, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706529504, 0.061, -0.793, 0.427, METAWEAR, SENSOR_GYRO
1518706529553, 0.122, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518706529604, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706529753, 0.122, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518706529803, 0, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518706529853, 0.061, -0.793, 0.366, METAWEAR, SENSOR_GYRO
1518706529954, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706530010, 0.061, -0.732, 0.244, METAWEAR, SENSOR_GYRO
1518706530153, 0.122, -0.732, 0.244, METAWEAR, SENSOR_GYRO
1518706530203, 0.061, -0.732, 0.366, METAWEAR, SENSOR_GYRO
1518706530404, 0.122, -0.732, 0.427, METAWEAR, SENSOR_GYRO
1518706530455, 0.061, -0.732, 0.305, METAWEAR, SENSOR_GYRO
1518706530653, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706530703, 0.122, -0.793, 0.366, METAWEAR, SENSOR_GYRO
1518706530803, 0.122, -0.793, 0.305, METAWEAR, SENSOR_GYRO
1518706530854, 0.061, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706530903, 0.061, -0.671, 0.244, METAWEAR, SENSOR_GYRO
1518706531053, 0.122, -0.732, 0.305, METAWEAR, SENSOR_GYRO
1518706531103, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706531253, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
