1518706532403, -0.004, 0.119, 1.05, METAWEAR, SENSOR_ACCEL
1518706532554, -0.001, 0.125, 1.051, METAWEAR, SENSOR_ACCEL
1518706532603, -0.001, 0.118, 1.051, METAWEAR, SENSOR_ACCEL
1518706532753, 0.001, 0.121, 1.049, METAWEAR, SENSOR_ACCEL
1518706532803, -0.006, 0.118, 1.049, METAWEAR, SENSOR_ACCEL
1518706532853, -0.011, 0.116, 1.049, METAWEAR, SENSOR_ACCEL
1518706533005, -0.006, 0.121, 1.048, METAWEAR, SENSOR_ACCEL
1518706533053, -0.005, 0.114, 1.048, METAWEAR, SENSOR_ACCEL
1518706533303, -0.001, 0.117, 1.049, METAWEAR, SENSOR_ACCEL
1518706533359, -0.005, 0.117, 1.049, METAWEAR, SENSOR_ACCEL
1518706533455, 0.001, 0.121, 1.052, METAWEAR, SENSOR_ACCEL
1518706533505, -0.009, 0.117, 1.05, METAWEAR, SENSOR_ACCEL
1518706533654, -0.001, 0.12, 1.049, METAWEAR, SENSOR_ACCEL
1518706533707, -0.006, 0.116, 1.047, METAWEAR, SENSOR_ACCEL
1518706533853, 0.001, 0.119, 1.051, METAWEAR, SENSOR_ACCEL
1518706533903, -0.009, 0.116, 1.047, METAWEAR, SENSOR_ACCEL
1518706533953, -0.007, 0.116, 1.05, METAWEAR, SENSOR_ACCEL
1518706534103, -0.002, 0.12, 1.047, METAWEAR, SENSOR_ACCEL
1518706534154, -0.006, 0.118, 1.051, METAWEAR, SENSOR_ACCEL
1518706534303, -0.005, 0.116, 1.05, METAWEAR, SENSOR_ACCEL
1518706534353, -0.01, 0.118, 1.046, METAWEAR, SENSOR_ACCEL
1518706534553, -0.006, 0.122, 1.05, METAWEAR, SENSOR_ACCEL
1518706534603, -0.01, 0.118, 1.05, METAWEAR, SENSOR_ACCEL
1518706534703, -0.008, 0.108, 1.047, METAWEAR, SENSOR_ACCEL
1518706534905, -0.012, 0.112, 1.047, METAWEAR, SENSOR_ACCEL
1518706534953, -0.012, 0.12, 1.049, METAWEAR, SENSOR_ACCEL
1518706535103, -0.021, 0.113, 1.047, METAWEAR, SENSOR_ACCEL
1518706535153, -0.006, 0.117, 1.05, METAWEAR, SENSOR_ACCEL
1518706535303, -0.009, 0.111, 1.047, METAWEAR, SENSOR_ACCEL
1518706535353, -0.004, 0.114, 1.05, METAWEAR, SENSOR_ACCEL
1518706535503, -0.014, 0.112, 1.049, METAWEAR, SENSOR_ACCEL
1518706535553, -0.009, 0.119, 1.05, METAWEAR, SENSOR_ACCEL
1518706535703, -0.016, 0.114, 1.047, METAWEAR, SENSOR_ACCEL
1518706535753, -0.012, 0.114, 1.048, METAWEAR, SENSOR_ACCEL
1518706535953, 0.085, 0.182, 1.052, METAWEAR, SENSOR_ACCEL
1518706536003, -0.13, 0.009, 1.05, METAWEAR, SENSOR_ACCEL
1518706536153, -0.076, 0.06, 1.045, METAWEAR, SENSOR_ACCEL
1518706536204, -0.121, -0.001, 1.058, METAWEAR, SENSOR_ACCEL
1518706536453, -0.008, 0.127, 1.051, METAWEAR, SENSOR_ACCEL
1518706536503, -0.002, 0.127, 1.051, METAWEAR, SENSOR_ACCEL
1518706536653, 0.023, 0.111, 1.052, METAWEAR, SENSOR_ACCEL
1518706536703, -0.011, 0.136, 1.046, METAWEAR, SENSOR_ACCEL
1518706536853, 0.013, 0.114, 1.051, METAWEAR, SENSOR_ACCEL
1518706536904, 0.001, 0.129, 1.05, METAWEAR, SENSOR_ACCEL
1518706536955, -0.001, 0.129, 1.05, METAWEAR, SENSOR_ACCEL
1518706537154, 0.001, 0.129, 1.051, METAWEAR, SENSOR_ACCEL
1518706537204, 0.013, 0.124, 1.05, METAWEAR, SENSOR_ACCEL
1518706537353, 0.001, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706537504, 0.014, 0.121, 1.05, METAWEAR, SENSOR_ACCEL
1518706537553, -0.005, 0.12, 1.051, METAWEAR, SENSOR_ACCEL
