1518705164567, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164572, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705164575, -0.549, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164621, -0.61, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705164622, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164672, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164674, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164676, -0.549, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164718, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705164726, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164768, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164774, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164776, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164824, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164827, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164872, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705164874, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164876, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705164923, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164927, -0.671, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705164967, -0.549, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705164976, -0.549, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705164980, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165020, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705165022, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165071, -0.671, -0.427, -0.061, METAWEAR, SENSOR_GYRO
1518705165073, -0.549, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705165083, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165118, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705165123, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705165167, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705165170, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705165172, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165219, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165220, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705165271, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705165274, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705165277, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165318, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165323, -0.61, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705165369, -0.671, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705165375, -0.549, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705165376, -0.61, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705165419, -0.793, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705165420, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165473, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165474, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165476, -0.61, -0.549, 0, METAWEAR, SENSOR_GYRO
1518705165518, -0.427, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165524, -0.488, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705165669, -0.61, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705165678, -0.671, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705165680, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165696, -0.549, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705165707, -0.671, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705165711, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705165721, -0.549, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705165730, -0.61, -0.427, -0.061, METAWEAR, SENSOR_GYRO
1518705165731, -0.671, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165767, -0.671, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705165769, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165772, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165774, -0.732, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705165822, -0.671, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518705165824, -0.549, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165878, -0.61, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165884, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165925, -0.488, -0.427, 0, METAWEAR, SENSOR_GYRO
1518705165926, -0.488, -0.427, -0.061, METAWEAR, SENSOR_GYRO
1518705165929, -0.61, -0.488, -0.061, METAWEAR, SENSOR_GYRO
1518705165967, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705165970, -0.61, -0.488, 0.061, METAWEAR, SENSOR_GYRO
1518705166017, -0.671, -0.427, 0.061, METAWEAR, SENSOR_GYRO
1518705166021, -0.61, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705166023, -0.61, -0.366, 0, METAWEAR, SENSOR_GYRO
1518705166072, -0.549, -0.366, 0.061, METAWEAR, SENSOR_GYRO
1518705166073, -0.61, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166122, -0.671, -0.488, 0, METAWEAR, SENSOR_GYRO
1518705166123, -0.61, -0.488, -0.122, METAWEAR, SENSOR_GYRO
